FECHA (YYMMDD);HORA (HHMM);;
140513;0100;;
140513;0200;;
140513;0300;;
140513;0400;;
140513;0500;;
140513;0600;;
140513;0700;;
140513;0800;;
140513;0900;;
140513;1000;;
140513;1100;;
140513;1200;;
140513;1300;;
140513;1400;;
140513;1500;;
140513;1600;;
140513;1700;;
140513;1800;;
140513;1900;;
140513;2000;;
140513;2100;89;
140513;2200;90;
140513;2300;91;
140514;0000;89;
140514;0100;88;
140514;0200;88;
140514;0300;89;
140514;0400;90;
140514;0500;91;
140514;0600;93;
140514;0700;93;
140514;0800;90;
140514;0900;83;
140514;1000;88;
140514;1100;80;
140514;1200;79;
140514;1300;71;
140514;1400;66;
140514;1500;61;
140514;1600;72;
140514;1700;72;
140514;1800;75;
140514;1900;81;
140514;2000;85;
140514;2100;89;
140514;2200;93;
140514;2300;95;
140515;0000;96;
140515;0100;96;
140515;0200;97;
140515;0300;97;
140515;0400;97;
140515;0500;97;
140515;0600;97;
140515;0700;96;
140515;0800;94;
140515;0900;86;
140515;1000;77;
140515;1100;72;
140515;1200;73;
140515;1300;65;
140515;1400;61;
140515;1500;58;
140515;1600;62;
140515;1700;63;
140515;1800;65;
140515;1900;69;
140515;2000;79;
140515;2100;85;
140515;2200;91;
140515;2300;93;
140516;0000;94;
140516;0100;95;
140516;0200;96;
140516;0300;97;
140516;0400;96;
140516;0500;96;
140516;0600;95;
140516;0700;95;
140516;0800;93;
140516;0900;81;
140516;1000;67;
140516;1100;63;
140516;1200;63;
140516;1300;60;
140516;1400;44;
140516;1500;38;
140516;1600;45;
140516;1700;52;
140516;1800;58;
140516;1900;60;
140516;2000;63;
140516;2100;75;
140516;2200;85;
140516;2300;88;
140517;0000;89;
140517;0100;87;
140517;0200;86;
140517;0300;87;
140517;0400;86;
140517;0500;87;
140517;0600;86;
140517;0700;85;
140517;0800;83;
140517;0900;77;
140517;1000;77;
140517;1100;71;
140517;1200;87;
140517;1300;85;
140517;1400;86;
140517;1500;80;
140517;1600;83;
140517;1700;85;
140517;1800;89;
140517;1900;92;
140517;2000;92;
140517;2100;91;
140517;2200;88;
140517;2300;87;
140518;0000;87;
140518;0100;89;
140518;0200;90;
140518;0300;91;
140518;0400;91;
140518;0500;90;
140518;0600;90;
140518;0700;90;
140518;0800;87;
140518;0900;79;
140518;1000;61;
140518;1100;68;
140518;1200;65;
140518;1300;68;
140518;1400;68;
140518;1500;59;
140518;1600;59;
140518;1700;65;
140518;1800;69;
140518;1900;63;
140518;2000;76;
140518;2100;81;
140518;2200;84;
140518;2300;87;
140519;0000;83;
140519;0100;77;
140519;0200;76;
140519;0300;77;
140519;0400;74;
140519;0500;74;
140519;0600;77;
140519;0700;76;
140519;0800;69;
140519;0900;61;
140519;1000;63;
140519;1100;62;
140519;1200;65;
140519;1300;65;
140519;1400;63;
140519;1500;61;
140519;1600;67;
140519;1700;69;
140519;1800;61;
140519;1900;69;
140519;2000;82;
140519;2100;89;
140519;2200;90;
140519;2300;86;
140520;0000;84;
140520;0100;85;
140520;0200;87;
140520;0300;88;
140520;0400;88;
140520;0500;89;
140520;0600;89;
140520;0700;94;
140520;0800;93;
140520;0900;89;
140520;1000;78;
140520;1100;67;
140520;1200;69;
140520;1300;75;
140520;1400;77;
140520;1500;80;
140520;1600;77;
140520;1700;81;
140520;1800;82;
140520;1900;80;
140520;2000;90;
140520;2100;93;
140520;2200;94;
140520;2300;93;
140521;0000;92;
140521;0100;91;
140521;0200;91;
140521;0300;90;
140521;0400;91;
140521;0500;91;
140521;0600;90;
140521;0700;84;
140521;0800;88;
140521;0900;84;
140521;1000;74;
140521;1100;68;
140521;1200;74;
140521;1300;80;
140521;1400;85;
140521;1500;80;
140521;1600;86;
140521;1700;90;
140521;1800;90;
140521;1900;88;
140521;2000;90;
140521;2100;90;
140521;2200;92;
140521;2300;93;
140522;0000;93;
140522;0100;91;
140522;0200;88;
140522;0300;88;
140522;0400;87;
140522;0500;88;
140522;0600;88;
140522;0700;88;
140522;0800;87;
140522;0900;78;
140522;1000;61;
140522;1100;53;
140522;1200;55;
140522;1300;54;
140522;1400;53;
140522;1500;49;
140522;1600;59;
140522;1700;64;
140522;1800;64;
140522;1900;64;
140522;2000;72;
140522;2100;70;
140522;2200;73;
140522;2300;76;
140523;0000;79;
140523;0100;81;
140523;0200;80;
140523;0300;83;
140523;0400;83;
140523;0500;82;
140523;0600;83;
140523;0700;83;
140523;0800;80;
140523;0900;68;
140523;1000;53;
140523;1100;62;
140523;1200;66;
140523;1300;67;
140523;1400;65;
140523;1500;66;
140523;1600;77;
140523;1700;83;
140523;1800;88;
140523;1900;90;
140523;2000;89;
140523;2100;86;
140523;2200;86;
140523;2300;87;
140524;0000;89;
140524;0100;88;
140524;0200;89;
140524;0300;89;
140524;0400;89;
140524;0500;88;
140524;0600;88;
140524;0700;89;
140524;0800;87;
140524;0900;84;
140524;1000;78;
140524;1100;72;
140524;1200;66;
140524;1300;65;
140524;1400;63;
140524;1500;58;
140524;1600;70;
140524;1700;74;
140524;1800;82;
140524;1900;85;
140524;2000;84;
140524;2100;85;
140524;2200;84;
140524;2300;81;
140525;0000;81;
140525;0100;81;
140525;0200;85;
140525;0300;85;
140525;0400;86;
140525;0500;87;
140525;0600;88;
140525;0700;89;
140525;0800;88;
140525;0900;78;
140525;1000;60;
140525;1100;54;
140525;1200;56;
140525;1300;61;
140525;1400;62;
140525;1500;63;
140525;1600;65;
140525;1700;75;
140525;1800;80;
140525;1900;81;
140525;2000;79;
140525;2100;80;
140525;2200;82;
140525;2300;83;
140526;0000;84;
140526;0100;85;
140526;0200;87;
140526;0300;86;
140526;0400;87;
140526;0500;88;
140526;0600;87;
140526;0700;87;
140526;0800;85;
140526;0900;75;
140526;1000;56;
140526;1100;50;
140526;1200;50;
140526;1300;45;
140526;1400;34;
140526;1500;40;
140526;1600;55;
140526;1700;55;
140526;1800;42;
140526;1900;41;
140526;2000;40;
140526;2100;47;
140526;2200;57;
140526;2300;60;
140527;0000;59;
140527;0100;60;
140527;0200;62;
140527;0300;63;
140527;0400;64;
140527;0500;62;
140527;0600;62;
140527;0700;61;
140527;0800;60;
140527;0900;54;
140527;1000;39;
140527;1100;38;
140527;1200;39;
140527;1300;28;
140527;1400;27;
140527;1500;24;
140527;1600;46;
140527;1700;58;
140527;1800;64;
140527;1900;51;
140527;2000;49;
140527;2100;51;
140527;2200;68;
140527;2300;88;
140528;0000;85;
140528;0100;83;
140528;0200;80;
140528;0300;79;
140528;0400;79;
140528;0500;79;
140528;0600;80;
140528;0700;78;
140528;0800;75;
140528;0900;74;
140528;1000;71;
140528;1100;65;
140528;1200;65;
140528;1300;69;
140528;1400;69;
140528;1500;74;
140528;1600;78;
140528;1700;75;
140528;1800;77;
140528;1900;75;
