FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
220101;0000;9;;;
220102;0000;7;;;
220103;0000;9;;;
220104;0000;8;;;
220105;0000;11;;;
220106;0000;14;;;
220107;0000;15;;;
220108;0000;14;;;
220109;0000;9;;;
220110;0000;9;;;
220111;0000;12;;;
220112;0000;11;;;
220113;0000;10;;;
220114;0000;11;;;
220115;0000;10;;;
220116;0000;8;;;
220117;0000;6;;;
220118;0000;9;;;
220119;0000;9;;;
220120;0000;10;;;
220121;0000;8;;;
220122;0000;6;;;
220123;0000;8;;;
220124;0000;12;;;
220125;0000;10;;;
220126;0000;14;;;
220127;0000;12;;;
220128;0000;14;;;
220129;0000;12;;;
220130;0000;11;;;
220131;0000;13;;;
220201;0000;12;;;
220202;0000;13;;;
220203;0000;10;;;
220204;0000;9;;;
220205;0000;11;;;
220206;0000;13;;;
220207;0000;13;;;
220208;0000;14;;;
220209;0000;18;;;
220210;0000;18;;;
220211;0000;18;;;
220212;0000;29;;;
220213;0000;18;;;
220214;0000;18;;;
220215;0000;19;;;
220216;0000;16;;;
220217;0000;17;;;
220218;0000;24;;;
220219;0000;16;;;
220220;0000;9;;;
220221;0000;9;;;
220222;0000;8;;;
220223;0000;6;;;
220224;0000;12;;;
220225;0000;14;;;
220226;0000;10;;;
220227;0000;6;;;
220228;0000;10;;;
220301;0000;17;;;
220302;0000;17;;;
220303;0000;15;;;
220304;0000;12;;;
220305;0000;11;;;
220306;0000;8;;;
220307;0000;10;;;
220308;0000;12;;;
220309;0000;11;;;
220310;0000;14;;;
220311;0000;17;;;
220312;0000;22;;;
220313;0000;19;;;
220314;0000;22;;;
220315;0000;;;;
220316;0000;;;;
220317;0000;;;;
220318;0000;;;;
220319;0000;17;;;
220320;0000;17;;;
220321;0000;10;;;
220322;0000;12;;;
220323;0000;7;;;
220324;0000;12;;;
220325;0000;19;;;
220326;0000;18;;;
220327;0000;18;;;
220328;0000;17;;;
220329;0000;12;;;
220330;0000;15;;;
220331;0000;18;;;
220401;0000;22;;;
220402;0000;24;;;
220403;0000;13;;;
220404;0000;15;;;
220405;0000;18;;;
220406;0000;20;;;
220407;0000;20;;;
220408;0000;19;;;
220409;0000;11;;;
220410;0000;8;;;
220411;0000;10;;;
220412;0000;11;;;
220413;0000;21;;;
220414;0000;23;;;
220415;0000;17;;;
220416;0000;31;;;
220417;0000;35;;;
220418;0000;27;;;
220419;0000;29;;;
220420;0000;19;;;
220421;0000;26;;;
220422;0000;24;;;
220423;0000;22;;;
220424;0000;11;;;
220425;0000;8;;;
220426;0000;5;;;
220427;0000;14;;;
220428;0000;33;;;
220429;0000;41;;;
220430;0000;32;;;
220501;0000;38;;;
220502;0000;26;;;
220503;0000;39;;;
220504;0000;35;;;
220505;0000;39;;;
220506;0000;55;;;
220507;0000;45;;;
220508;0000;30;;;
220509;0000;42;;;
220510;0000;54;;;
220511;0000;56;;;
220512;0000;55;;;
220513;0000;51;;;
220514;0000;52;;;
220515;0000;53;;;
220516;0000;54;;;
220517;0000;67;;;
220518;0000;70;;;
220519;0000;35;;;
220520;0000;33;;;
220521;0000;38;;;
220522;0000;40;;;
220523;0000;21;;;
220524;0000;27;;;
220525;0000;36;;;
220526;0000;46;;;
220527;0000;77;;;
220528;0000;103;;;
220529;0000;60;;;
220530;0000;52;;;
220531;0000;52;;;
220601;0000;33;;;
220602;0000;30;;;
220603;0000;36;;;
220604;0000;14;;;
220605;0000;12;;;
220606;0000;27;;;
220607;0000;45;;;
220608;0000;42;;;
220609;0000;56;;;
220610;0000;68;;;
220611;0000;53;;;
220612;0000;73;;;
220613;0000;53;;;
220614;0000;49;;;
220615;0000;45;;;
220616;0000;37;;;
220617;0000;47;;;
220618;0000;74;;;
220619;0000;86;;;
220620;0000;75;;;
220621;0000;42;;;
220622;0000;42;;;
220623;0000;16;;;
220624;0000;35;;;
220625;0000;45;;;
220626;0000;64;;;
220627;0000;32;;;
220628;0000;30;;;
220629;0000;36;;;
220630;0000;35;;;
220701;0000;11;;;
220702;0000;25;;;
220703;0000;60;;;
220704;0000;57;;;
220705;0000;43;;;
220706;0000;37;;;
220707;0000;54;;;
220708;0000;41;;;
220709;0000;12;;;
220710;0000;7;;;
220711;0000;13;;;
220712;0000;27;;;
220713;0000;32;;;
220714;0000;9;;;
220715;0000;17;;;
220716;0000;19;;;
220717;0000;42;;;
220718;0000;44;;;
220719;0000;46;;;
220720;0000;44;;;
220721;0000;44;;;
220722;0000;54;;;
220723;0000;51;;;
220724;0000;44;;;
220725;0000;27;;;
220726;0000;26;;;
220727;0000;22;;;
220728;0000;30;;;
220729;0000;40;;;
220730;0000;36;;;
220731;0000;45;;;
220801;0000;43;;;
220802;0000;58;;;
220803;0000;41;;;
220804;0000;32;;;
220805;0000;45;;;
220806;0000;24;;;
220807;0000;8;;;
220808;0000;25;;;
220809;0000;40;;;
220810;0000;29;;;
220811;0000;34;;;
220812;0000;21;;;
220813;0000;36;;;
220814;0000;21;;;
220815;0000;6;;;
220816;0000;26;;;
220817;0000;18;;;
220818;0000;30;;;
220819;0000;46;;;
220820;0000;47;;;
220821;0000;39;;;
220822;0000;30;;;
220823;0000;53;;;
220824;0000;58;;;
220825;0000;52;;;
220826;0000;52;;;
220827;0000;34;;;
220828;0000;46;;;
220829;0000;27;;;
220830;0000;24;;;
220831;0000;21;;;
220901;0000;25;;;
220902;0000;47;;;
220903;0000;41;;;
220904;0000;38;;;
220905;0000;32;;;
220906;0000;32;;;
220907;0000;12;;;
220908;0000;9;;;
220909;0000;32;;;
220910;0000;35;;;
220911;0000;10;;;
220912;0000;26;;;
220913;0000;17;;;
220914;0000;27;;;
220915;0000;31;;;
220916;0000;20;;;
220917;0000;17;;;
220918;0000;8;;;
220919;0000;13;;;
220920;0000;9;;;
220921;0000;9;;;
220922;0000;16;;;
220923;0000;21;;;
220924;0000;11;;;
220925;0000;9;;;
220926;0000;13;;;
220927;0000;17;;;
220928;0000;17;;;
220929;0000;21;;;
220930;0000;31;;;
221001;0000;25;;;
221002;0000;23;;;
221003;0000;12;;;
221004;0000;11;;;
221005;0000;10;;;
221006;0000;15;;;
221007;0000;14;;;
221008;0000;5;;;
221009;0000;11;;;
221010;0000;11;;;
221011;0000;17;;;
221012;0000;16;;;
221013;0000;14;;;
221014;0000;15;;;
221015;0000;20;;;
221016;0000;15;;;
221017;0000;10;;;
221018;0000;10;;;
221019;0000;9;;;
221020;0000;11;;;
221021;0000;14;;;
221022;0000;13;;;
221023;0000;13;;;
221024;0000;13;;;
221025;0000;7;;;
221026;0000;9;;;
221027;0000;11;;;
221028;0000;13;;;
221029;0000;11;;;
221030;0000;4;;;
221031;0000;10;;;
221101;0000;12;;;
221102;0000;15;;;
221103;0000;16;;;
221104;0000;18;;;
221105;0000;13;;;
221106;0000;13;;;
221107;0000;15;;;
221108;0000;15;;;
221109;0000;9;;;
221110;0000;11;;;
221111;0000;6;;;
221112;0000;5;;;
221113;0000;7;;;
221114;0000;10;;;
221115;0000;13;;;
221116;0000;12;;;
221117;0000;14;;;
221118;0000;14;;;
221119;0000;11;;;
221120;0000;11;;;
221121;0000;11;;;
221122;0000;14;;;
221123;0000;17;;;
221124;0000;14;;;
221125;0000;14;;;
221126;0000;13;;;
221127;0000;13;;;
221128;0000;14;;;
221129;0000;13;;;
221130;0000;11;;;
221201;0000;12;;;
221202;0000;14;;;
221203;0000;13;;;
221204;0000;9;;;
221205;0000;10;;;
221206;0000;;;;
221207;0000;;;;
221208;0000;11;;;
221209;0000;7;;;
221210;0000;9;;;
221211;0000;11;;;
221212;0000;14;;;
221213;0000;12;;;
221214;0000;12;;;
221215;0000;27;;;
221216;0000;78;;;
221217;0000;16;;;
221218;0000;14;;;
221219;0000;10;;;
221220;0000;9;;;
221221;0000;9;;;
221222;0000;8;;;
221223;0000;7;;;
221224;0000;11;;;
221225;0000;11;;;
221226;0000;12;;;
221227;0000;13;;;
221228;0000;14;;;
221229;0000;16;;;
221230;0000;18;;;
221231;0000;15;;;
230101;0000;17;;;
