FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
080724;0000;;28,45;;
080725;0000;;38,0458;;
080726;0000;;;;
080727;0000;;;;
080728;0000;;;;
080729;0000;;24,7583;;
080730;0000;;26,1458;;
080731;0000;;35,0499;;
080801;0000;;10,7666;;
080802;0000;;10,8917;;
080803;0000;;15,6833;;
080804;0000;;16,0458;;
080805;0000;;15,4541;;
080806;0000;;16,4083;;
080807;0000;;21,9833;;
080808;0000;;32,2375;;
080809;0000;;32,1166;;
080810;0000;;27,1958;;
080811;0000;;6,97083;;
080812;0000;;18,0583;;
080813;0000;;29,025;;
080814;0000;;25,0417;;
080815;0000;;14,1917;;
080816;0000;;6,35416;;
080817;0000;;14,9083;;
080818;0000;;;;
080819;0000;;;;
080820;0000;;11,2333;;
080821;0000;;12,6792;;
080822;0000;;21,0125;;
080823;0000;;20,9166;;
080824;0000;;17,9875;;
080825;0000;;20,7083;;
080826;0000;;22,5478;;
080827;0000;;22,5125;;
080828;0000;;9,61665;;
080829;0000;;18,1958;;
080830;0000;;25,9;;
080831;0000;;19,3625;;
080901;0000;;17,0417;;
080902;0000;;12,425;;
080903;0000;;10,5667;;
080904;0000;;14,2;;
080905;0000;;16,7416;;
080906;0000;;18;;
080907;0000;;15,9875;;
080908;0000;;18,65;;
080909;0000;;21,7;;
080910;0000;;14,9;;
080911;0000;;16,7458;;
080912;0000;;16,8083;;
080913;0000;;35,4791;;
080914;0000;;28,8875;;
080915;0000;;34,7625;;
080916;0000;;30,6363;;
080917;0000;;13,65;;
080918;0000;;15,3583;;
080919;0000;;12,9333;;
080920;0000;;21,6;;
080921;0000;;22,0667;;
080922;0000;;17,9541;;
080923;0000;;16,4958;;
080924;0000;;19,8666;;
080925;0000;;16,3792;;
080926;0000;;8,97499;;
080927;0000;;6,37499;;
080928;0000;;12,275;;
080929;0000;;15,1583;;
080930;0000;;12,6625;;
081001;0000;;8,62271;;
081002;0000;;;;
081003;0000;;;;
081004;0000;;13,2875;;
081005;0000;;12,0625;;
081006;0000;;16,5791;;
081007;0000;;22,2292;;
081008;0000;;15,1333;;
081009;0000;;14,6333;;
081010;0000;;14,2458;;
081011;0000;;15,1;;
081012;0000;;9,81665;;
081013;0000;;9,82498;;
081014;0000;;15,8833;;
081015;0000;;17,4625;;
081016;0000;;23,2875;;
081017;0000;;23,8625;;
081018;0000;;23,7833;;
