FECHA (YYMMDD);HORA (HHMM);;
130610;0100;;
130610;0200;;
130610;0300;;
130610;0400;;
130610;0500;;
130610;0600;;
130610;0700;;
130610;0800;;
130610;0900;;
130610;1000;;
130610;1100;0;
130610;1200;0;
130610;1300;0;
130610;1400;0;
130610;1500;0;
130610;1600;0;
130610;1700;0;
130610;1800;0;
130610;1900;0;
130610;2000;0;
130610;2100;0;
130610;2200;0;
130610;2300;0;
130611;0000;0;
130611;0100;0;
130611;0200;0;
130611;0300;0;
130611;0400;0;
130611;0500;0;
130611;0600;0;
130611;0700;0;
130611;0800;0;
130611;0900;0;
130611;1000;0;
130611;1100;0;
130611;1200;0;
130611;1300;0;
130611;1400;0;
130611;1500;0;
130611;1600;0;
130611;1700;0;
130611;1800;0;
130611;1900;0;
130611;2000;0;
130611;2100;0;
130611;2200;0;
130611;2300;0;
130612;0000;0;
130612;0100;0;
130612;0200;0;
130612;0300;0;
130612;0400;0;
130612;0500;0;
130612;0600;0;
130612;0700;0;
130612;0800;0;
130612;0900;0;
130612;1000;0;
130612;1100;0;
130612;1200;0;
130612;1300;0;
130612;1400;0;
130612;1500;0;
130612;1600;0;
130612;1700;0;
130612;1800;0;
130612;1900;0;
130612;2000;0;
130612;2100;0;
130612;2200;0;
130612;2300;0;
130613;0000;0;
130613;0100;0;
130613;0200;0;
130613;0300;0;
130613;0400;0;
130613;0500;0;
130613;0600;0;
130613;0700;0;
130613;0800;0;
130613;0900;0;
130613;1000;0;
130613;1100;0;
130613;1200;0;
130613;1300;0;
130613;1400;0;
130613;1500;0;
130613;1600;0;
130613;1700;0;
130613;1800;0;
130613;1900;0;
130613;2000;0;
130613;2100;0;
130613;2200;0;
130613;2300;0;
130614;0000;0;
130614;0100;0;
130614;0200;0;
130614;0300;0;
130614;0400;0;
130614;0500;0;
130614;0600;0;
130614;0700;0;
130614;0800;0;
130614;0900;0;
130614;1000;0;
130614;1100;0;
130614;1200;0;
130614;1300;0;
130614;1400;0;
130614;1500;0;
130614;1600;0;
130614;1700;0;
130614;1800;0;
130614;1900;0;
130614;2000;0;
130614;2100;0;
130614;2200;0;
130614;2300;0;
130615;0000;0;
130615;0100;0;
130615;0200;0;
130615;0300;0;
130615;0400;0;
130615;0500;0;
130615;0600;0;
130615;0700;0;
130615;0800;0;
130615;0900;0;
130615;1000;0;
130615;1100;0;
130615;1200;0;
130615;1300;0;
130615;1400;0;
130615;1500;0;
130615;1600;0;
130615;1700;0;
130615;1800;0;
130615;1900;0;
130615;2000;0;
130615;2100;0;
130615;2200;0;
130615;2300;0;
130616;0000;0;
130616;0100;0;
130616;0200;0;
130616;0300;0;
130616;0400;0;
130616;0500;0;
130616;0600;0;
130616;0700;0;
130616;0800;0;
130616;0900;0;
130616;1000;0;
130616;1100;0;
130616;1200;0;
130616;1300;0;
130616;1400;0;
130616;1500;0;
130616;1600;0;
130616;1700;0;
130616;1800;0;
130616;1900;0;
130616;2000;0;
130616;2100;0;
130616;2200;0;
130616;2300;0;
130617;0000;0;
130617;0100;0;
130617;0200;0;
130617;0300;0;
130617;0400;0;
130617;0500;0;
130617;0600;0;
130617;0700;0;
130617;0800;0;
130617;0900;0;
130617;1000;0;
130617;1100;0;
130617;1200;0;
130617;1300;0;
130617;1400;0;
130617;1500;0;
130617;1600;0;
130617;1700;0;
130617;1800;0;
130617;1900;0;
130617;2000;0;
130617;2100;0;
130617;2200;0;
130617;2300;0;
130618;0000;0;
130618;0100;0;
130618;0200;0;
130618;0300;0;
130618;0400;0;
130618;0500;0;
130618;0600;0;
130618;0700;0;
130618;0800;0;
130618;0900;0;
130618;1000;0;
130618;1100;0;
130618;1200;0;
130618;1300;0;
130618;1400;0;
130618;1500;0;
130618;1600;0;
130618;1700;0;
130618;1800;0;
130618;1900;0;
130618;2000;0;
130618;2100;0;
130618;2200;0;
130618;2300;0;
130619;0000;0;
130619;0100;0;
130619;0200;0;
130619;0300;0;
130619;0400;0;
130619;0500;0;
130619;0600;0;
130619;0700;0;
130619;0800;0;
130619;0900;0;
130619;1000;0;
130619;1100;0;
130619;1200;0;
130619;1300;0;
130619;1400;0;
130619;1500;0;
130619;1600;0;
130619;1700;0;
130619;1800;0;
130619;1900;0;
130619;2000;0;
130619;2100;0;
130619;2200;0;
130619;2300;0;
130620;0000;0;
130620;0100;0;
130620;0200;0;
130620;0300;0;
130620;0400;0;
130620;0500;0;
130620;0600;0;
130620;0700;0;
130620;0800;0;
130620;0900;0;
130620;1000;0;
130620;1100;0;
130620;1200;0;
130620;1300;0;
130620;1400;0;
130620;1500;0;
130620;1600;0;
130620;1700;0;
130620;1800;0;
130620;1900;0;
130620;2000;0;
130620;2100;0;
130620;2200;0;
130620;2300;0;
130621;0000;0;
130621;0100;0;
130621;0200;0;
130621;0300;0;
130621;0400;0;
130621;0500;0;
130621;0600;0;
130621;0700;0;
130621;0800;0;
130621;0900;0;
130621;1000;0;
130621;1100;0;
130621;1200;0;
130621;1300;0;
130621;1400;0;
130621;1500;0;
130621;1600;0;
130621;1700;0;
130621;1800;0;
130621;1900;0;
130621;2000;0;
130621;2100;0;
130621;2200;0;
130621;2300;0;
130622;0000;0;
130622;0100;0;
130622;0200;0;
130622;0300;0;
130622;0400;0;
130622;0500;0;
130622;0600;0;
130622;0700;0;
130622;0800;0;
130622;0900;0;
130622;1000;0;
130622;1100;0;
130622;1200;0;
130622;1300;0;
130622;1400;0;
130622;1500;0;
130622;1600;0;
130622;1700;0;
130622;1800;0;
130622;1900;0;
130622;2000;0;
130622;2100;0;
130622;2200;0;
130622;2300;0;
130623;0000;0;
130623;0100;0;
130623;0200;0;
130623;0300;0;
130623;0400;0;
130623;0500;0;
130623;0600;0;
130623;0700;0;
130623;0800;0;
130623;0900;0;
130623;1000;0;
130623;1100;0;
130623;1200;0;
130623;1300;0;
130623;1400;0;
130623;1500;0;
130623;1600;0;
130623;1700;0;
130623;1800;0;
130623;1900;0;
130623;2000;0;
130623;2100;0;
130623;2200;0;
130623;2300;0;
130624;0000;0;
130624;0100;0;
130624;0200;0;
130624;0300;0;
130624;0400;0;
130624;0500;0;
130624;0600;0;
130624;0700;0;
130624;0800;0;
130624;0900;0;
130624;1000;0;
130624;1100;0;
130624;1200;0,0999999;
130624;1300;0;
130624;1400;0;
130624;1500;0;
130624;1600;0;
130624;1700;0;
130624;1800;0;
130624;1900;0;
130624;2000;0;
130624;2100;0;
130624;2200;0;
130624;2300;0;
130625;0000;0;
130625;0100;0;
130625;0200;0;
130625;0300;0;
130625;0400;0;
130625;0500;0;
130625;0600;0;
130625;0700;0;
130625;0800;0;
130625;0900;0;
130625;1000;0;
130625;1100;0;
130625;1200;0;
130625;1300;0;
130625;1400;0;
130625;1500;0;
130625;1600;0;
130625;1700;0;
130625;1800;0;
130625;1900;0;
130625;2000;0;
130625;2100;0;
130625;2200;0;
130625;2300;0;
130626;0000;0;
130626;0100;0;
130626;0200;0;
130626;0300;0;
130626;0400;0;
130626;0500;0;
130626;0600;0;
130626;0700;0;
130626;0800;0;
130626;0900;0;
130626;1000;0;
130626;1100;0;
130626;1200;0;
130626;1300;0;
130626;1400;0;
130626;1500;0;
130626;1600;0;
130626;1700;0;
130626;1800;0;
130626;1900;0;
130626;2000;0;
130626;2100;0;
130626;2200;0;
130626;2300;0;
130627;0000;0;
130627;0100;0;
130627;0200;0;
130627;0300;0;
130627;0400;0;
130627;0500;0;
130627;0600;0;
130627;0700;0;
130627;0800;0;
130627;0900;0;
130627;1000;1,2;
130627;1100;1,2;
130627;1200;;
130627;1300;;
130627;1400;;
130627;1500;;
130627;1600;;
130627;1700;;
130627;1800;;
130627;1900;;
130627;2000;;
130627;2100;;
130627;2200;;
130627;2300;;
130628;0000;;
130628;0100;;
130628;0200;;
130628;0300;;
130628;0400;;
130628;0500;;
130628;0600;;
130628;0700;;
130628;0800;;
130628;0900;;
130628;1000;;
130628;1100;;
130628;1200;;
130628;1300;;
130628;1400;;
130628;1500;;
130628;1600;;
130628;1700;;
130628;1800;;
130628;1900;;
130628;2000;;
130628;2100;;
130628;2200;;
130628;2300;;
130629;0000;;
130629;0100;;
130629;0200;;
130629;0300;;
130629;0400;;
130629;0500;;
130629;0600;;
130629;0700;;
130629;0800;;
130629;0900;;
130629;1000;;
130629;1100;;
130629;1200;;
130629;1300;;
130629;1400;;
130629;1500;;
130629;1600;;
130629;1700;;
130629;1800;;
130629;1900;;
130629;2000;;
130629;2100;;
130629;2200;;
130629;2300;;
130630;0000;;
130630;0100;;
130630;0200;;
130630;0300;;
130630;0400;;
130630;0500;;
130630;0600;;
130630;0700;;
130630;0800;;
130630;0900;;
130630;1000;;
130630;1100;;
130630;1200;;
130630;1300;;
130630;1400;;
130630;1500;;
130630;1600;;
130630;1700;;
130630;1800;;
130630;1900;;
130630;2000;;
130630;2100;;
130630;2200;;
130630;2300;;
130701;0000;;
130701;0100;;
130701;0200;;
130701;0300;;
130701;0400;;
130701;0500;;
130701;0600;;
130701;0700;;
130701;0800;;
130701;0900;;
130701;1000;;
130701;1100;;
130701;1200;;
130701;1300;;
130701;1400;;
130701;1500;;
130701;1600;;
130701;1700;;
130701;1800;;
130701;1900;;
130701;2000;;
130701;2100;;
130701;2200;;
130701;2300;;
130702;0000;;
130702;0100;;
130702;0200;;
130702;0300;;
130702;0400;;
130702;0500;;
130702;0600;;
130702;0700;;
130702;0800;;
130702;0900;;
130702;1000;;
130702;1100;;
130702;1200;;
130702;1300;;
130702;1400;;
130702;1500;;
130702;1600;;
130702;1700;;
130702;1800;;
130702;1900;;
130702;2000;;
130702;2100;;
130702;2200;;
130702;2300;;
130703;0000;;
130703;0100;;
130703;0200;;
130703;0300;;
130703;0400;;
130703;0500;;
130703;0600;;
130703;0700;;
130703;0800;;
130703;0900;;
130703;1000;;
130703;1100;;
130703;1200;;
130703;1300;;
130703;1400;;
130703;1500;;
130703;1600;;
130703;1700;;
130703;1800;;
130703;1900;;
130703;2000;;
130703;2100;;
130703;2200;;
130703;2300;;
130704;0000;;
130704;0100;;
130704;0200;;
130704;0300;;
130704;0400;;
130704;0500;;
130704;0600;;
130704;0700;;
130704;0800;;
130704;0900;;
130704;1000;;
130704;1100;;
130704;1200;;
130704;1300;;
130704;1400;;
130704;1500;;
130704;1600;;
130704;1700;;
130704;1800;;
130704;1900;;
130704;2000;;
130704;2100;;
130704;2200;;
130704;2300;;
130705;0000;;
130705;0100;;
130705;0200;;
130705;0300;;
130705;0400;;
130705;0500;;
130705;0600;;
130705;0700;;
130705;0800;;
130705;0900;;
130705;1000;;
130705;1100;;
130705;1200;;
130705;1300;;
130705;1400;;
130705;1500;;
130705;1600;;
130705;1700;;
130705;1800;;
130705;1900;;
130705;2000;;
130705;2100;;
130705;2200;;
130705;2300;;
130706;0000;;
130706;0100;;
130706;0200;;
130706;0300;;
130706;0400;;
130706;0500;;
130706;0600;;
130706;0700;;
130706;0800;;
130706;0900;;
130706;1000;;
130706;1100;;
130706;1200;;
130706;1300;;
130706;1400;;
130706;1500;;
130706;1600;;
130706;1700;;
130706;1800;;
130706;1900;;
130706;2000;;
130706;2100;;
130706;2200;;
130706;2300;;
130707;0000;;
130707;0100;;
130707;0200;;
130707;0300;;
130707;0400;;
130707;0500;;
130707;0600;;
130707;0700;;
130707;0800;;
130707;0900;;
130707;1000;;
130707;1100;;
130707;1200;;
130707;1300;;
130707;1400;;
130707;1500;;
130707;1600;;
130707;1700;;
130707;1800;;
130707;1900;;
130707;2000;;
130707;2100;;
130707;2200;;
130707;2300;;
130708;0000;;
130708;0100;;
130708;0200;;
130708;0300;;
130708;0400;;
130708;0500;;
130708;0600;;
130708;0700;;
130708;0800;;
130708;0900;;
130708;1000;;
130708;1100;;
130708;1200;;
130708;1300;;
130708;1400;;
130708;1500;;
130708;1600;;
130708;1700;;
130708;1800;;
130708;1900;;
130708;2000;;
130708;2100;;
130708;2200;;
130708;2300;;
130709;0000;;
130709;0100;;
130709;0200;;
130709;0300;;
130709;0400;;
130709;0500;;
130709;0600;;
130709;0700;;
130709;0800;;
130709;0900;;
130709;1000;;
130709;1100;;
130709;1200;;
130709;1300;;
130709;1400;;
130709;1500;;
130709;1600;;
130709;1700;;
130709;1800;;
130709;1900;;
130709;2000;;
130709;2100;;
130709;2200;;
130709;2300;;
130710;0000;;
130710;0100;;
130710;0200;;
130710;0300;;
130710;0400;;
130710;0500;;
130710;0600;;
130710;0700;;
130710;0800;;
130710;0900;;
130710;1000;;
130710;1100;;
130710;1200;;
130710;1300;;
130710;1400;;
130710;1500;;
130710;1600;;
130710;1700;;
130710;1800;;
130710;1900;;
130710;2000;;
130710;2100;;
130710;2200;;
130710;2300;;
130711;0000;;
130711;0100;;
130711;0200;;
130711;0300;;
130711;0400;;
130711;0500;;
130711;0600;;
130711;0700;;
130711;0800;;
130711;0900;;
130711;1000;;
130711;1100;;
130711;1200;;
130711;1300;;
130711;1400;;
130711;1500;;
130711;1600;;
130711;1700;;
130711;1800;;
130711;1900;;
130711;2000;;
130711;2100;;
130711;2200;;
130711;2300;;
130712;0000;;
130712;0100;;
130712;0200;;
130712;0300;;
130712;0400;;
130712;0500;;
130712;0600;;
130712;0700;;
130712;0800;;
130712;0900;;
130712;1000;;
130712;1100;;
130712;1200;;
130712;1300;;
130712;1400;;
130712;1500;;
130712;1600;;
130712;1700;;
130712;1800;;
130712;1900;;
130712;2000;;
130712;2100;;
130712;2200;;
130712;2300;;
130713;0000;;
130713;0100;;
130713;0200;;
130713;0300;;
130713;0400;;
130713;0500;;
130713;0600;;
130713;0700;;
130713;0800;;
130713;0900;;
130713;1000;;
130713;1100;;
130713;1200;;
130713;1300;;
130713;1400;;
130713;1500;;
130713;1600;;
130713;1700;;
130713;1800;;
130713;1900;;
130713;2000;;
130713;2100;;
130713;2200;;
130713;2300;;
130714;0000;;
130714;0100;;
130714;0200;;
130714;0300;;
130714;0400;;
130714;0500;;
130714;0600;;
130714;0700;;
130714;0800;;
130714;0900;;
130714;1000;;
130714;1100;;
130714;1200;;
130714;1300;;
130714;1400;;
130714;1500;;
130714;1600;;
130714;1700;;
130714;1800;;
130714;1900;;
130714;2000;;
130714;2100;;
130714;2200;;
130714;2300;;
130715;0000;;
130715;0100;;
130715;0200;;
130715;0300;;
130715;0400;;
130715;0500;;
130715;0600;;
130715;0700;;
130715;0800;;
130715;0900;;
130715;1000;;
130715;1100;;
130715;1200;;
130715;1300;;
130715;1400;;
130715;1500;;
130715;1600;;
130715;1700;;
130715;1800;;
130715;1900;;
130715;2000;;
130715;2100;;
130715;2200;;
130715;2300;;
130716;0000;;
130716;0100;;
130716;0200;;
130716;0300;;
130716;0400;;
130716;0500;;
130716;0600;;
130716;0700;;
130716;0800;;
130716;0900;;
130716;1000;;
130716;1100;;
130716;1200;;
130716;1300;;
130716;1400;;
130716;1500;;
130716;1600;;
130716;1700;;
130716;1800;;
130716;1900;;
130716;2000;;
130716;2100;;
130716;2200;;
130716;2300;;
130717;0000;;
