FECHA (YYMMDD);HORA (HHMM);;
140513;0100;;
140513;0200;;
140513;0300;;
140513;0400;;
140513;0500;;
140513;0600;;
140513;0700;;
140513;0800;;
140513;0900;;
140513;1000;;
140513;1100;;
140513;1200;;
140513;1300;;
140513;1400;;
140513;1500;;
140513;1600;;
140513;1700;;
140513;1800;;
140513;1900;;
140513;2000;;
140513;2100;1011;
140513;2200;1011;
140513;2300;1010;
140514;0000;1010;
140514;0100;1010;
140514;0200;1010;
140514;0300;1009;
140514;0400;1009;
140514;0500;1009;
140514;0600;1009;
140514;0700;1009;
140514;0800;1010;
140514;0900;1010;
140514;1000;1010;
140514;1100;1010;
140514;1200;1010;
140514;1300;1009;
140514;1400;1009;
140514;1500;1009;
140514;1600;1008;
140514;1700;1009;
140514;1800;1009;
140514;1900;1009;
140514;2000;1010;
140514;2100;1010;
140514;2200;1011;
140514;2300;1011;
140515;0000;1011;
140515;0100;1011;
140515;0200;1010;
140515;0300;1010;
140515;0400;1010;
140515;0500;1010;
140515;0600;1010;
140515;0700;1011;
140515;0800;1011;
140515;0900;1011;
140515;1000;1012;
140515;1100;1011;
140515;1200;1011;
140515;1300;1010;
140515;1400;1009;
140515;1500;1009;
140515;1600;1009;
140515;1700;1009;
140515;1800;1010;
140515;1900;1010;
140515;2000;1011;
140515;2100;1011;
140515;2200;1011;
140515;2300;1011;
140516;0000;1011;
140516;0100;1011;
140516;0200;1011;
140516;0300;1011;
140516;0400;1011;
140516;0500;1011;
140516;0600;1011;
140516;0700;1011;
140516;0800;1011;
140516;0900;1011;
140516;1000;1011;
140516;1100;1011;
140516;1200;1010;
140516;1300;1009;
140516;1400;1008;
140516;1500;1007;
140516;1600;1007;
140516;1700;1008;
140516;1800;1008;
140516;1900;1008;
140516;2000;1008;
140516;2100;1009;
140516;2200;1009;
140516;2300;1009;
140517;0000;1010;
140517;0100;1009;
140517;0200;1009;
140517;0300;1008;
140517;0400;1008;
140517;0500;1009;
140517;0600;1008;
140517;0700;1009;
140517;0800;1009;
140517;0900;1009;
140517;1000;1010;
140517;1100;1009;
140517;1200;1009;
140517;1300;1009;
140517;1400;1008;
140517;1500;1008;
140517;1600;1008;
140517;1700;1008;
140517;1800;1008;
140517;1900;1009;
140517;2000;1009;
140517;2100;1009;
140517;2200;1009;
140517;2300;1010;
140518;0000;1009;
140518;0100;1009;
140518;0200;1009;
140518;0300;1009;
140518;0400;1009;
140518;0500;1009;
140518;0600;1009;
140518;0700;1009;
140518;0800;1010;
140518;0900;1010;
140518;1000;1010;
140518;1100;1010;
140518;1200;1010;
140518;1300;1009;
140518;1400;1009;
140518;1500;1009;
140518;1600;1009;
140518;1700;1009;
140518;1800;1010;
140518;1900;1010;
140518;2000;1010;
140518;2100;1010;
140518;2200;1011;
140518;2300;1011;
140519;0000;1011;
140519;0100;1010;
140519;0200;1010;
140519;0300;1010;
140519;0400;1009;
140519;0500;1009;
140519;0600;1009;
140519;0700;1009;
140519;0800;1009;
140519;0900;1009;
140519;1000;1009;
140519;1100;1009;
140519;1200;1008;
140519;1300;1008;
140519;1400;1008;
140519;1500;1008;
140519;1600;1008;
140519;1700;1008;
140519;1800;1008;
140519;1900;1009;
140519;2000;1009;
140519;2100;1009;
140519;2200;1009;
140519;2300;1009;
140520;0000;1009;
140520;0100;1008;
140520;0200;1008;
140520;0300;1008;
140520;0400;1008;
140520;0500;1008;
140520;0600;1008;
140520;0700;1008;
140520;0800;1008;
140520;0900;1009;
140520;1000;1009;
140520;1100;1009;
140520;1200;1009;
140520;1300;1008;
140520;1400;1008;
140520;1500;1008;
140520;1600;1009;
140520;1700;1009;
140520;1800;1009;
140520;1900;1009;
140520;2000;1009;
140520;2100;1010;
140520;2200;1010;
140520;2300;1009;
140521;0000;1010;
140521;0100;1009;
140521;0200;1009;
140521;0300;1009;
140521;0400;1009;
140521;0500;1009;
140521;0600;1009;
140521;0700;1009;
140521;0800;1010;
140521;0900;1010;
140521;1000;1010;
140521;1100;1010;
140521;1200;1010;
140521;1300;1010;
140521;1400;1010;
140521;1500;1010;
140521;1600;1011;
140521;1700;1011;
140521;1800;1011;
140521;1900;1011;
140521;2000;1011;
140521;2100;1010;
140521;2200;1010;
140521;2300;1010;
140522;0000;1010;
140522;0100;1010;
140522;0200;1010;
140522;0300;1010;
140522;0400;1010;
140522;0500;1010;
140522;0600;1010;
140522;0700;1011;
140522;0800;1011;
140522;0900;1011;
140522;1000;1011;
140522;1100;1010;
140522;1200;1010;
140522;1300;1009;
140522;1400;1009;
140522;1500;1008;
140522;1600;1008;
140522;1700;1008;
140522;1800;1008;
140522;1900;1008;
140522;2000;1009;
140522;2100;1009;
140522;2200;1009;
140522;2300;1009;
140523;0000;1009;
140523;0100;1009;
140523;0200;1010;
140523;0300;1010;
140523;0400;1010;
140523;0500;1010;
140523;0600;1011;
140523;0700;1011;
140523;0800;1012;
140523;0900;1012;
140523;1000;1012;
140523;1100;1012;
140523;1200;1011;
140523;1300;1010;
140523;1400;1010;
140523;1500;1010;
140523;1600;1009;
140523;1700;1009;
140523;1800;1009;
140523;1900;1010;
140523;2000;1010;
140523;2100;1010;
140523;2200;1010;
140523;2300;1010;
140524;0000;1010;
140524;0100;1010;
140524;0200;1010;
140524;0300;1010;
140524;0400;1010;
140524;0500;1010;
140524;0600;1011;
140524;0700;1012;
140524;0800;1012;
140524;0900;1013;
140524;1000;1013;
140524;1100;1014;
140524;1200;1013;
140524;1300;1013;
140524;1400;1013;
140524;1500;1013;
140524;1600;1013;
140524;1700;1013;
140524;1800;1014;
140524;1900;1014;
140524;2000;1015;
140524;2100;1015;
140524;2200;1016;
140524;2300;1016;
140525;0000;1016;
140525;0100;1016;
140525;0200;1016;
140525;0300;1016;
140525;0400;1016;
140525;0500;1016;
140525;0600;1016;
140525;0700;1017;
140525;0800;1017;
140525;0900;1017;
140525;1000;1017;
140525;1100;1017;
140525;1200;1016;
140525;1300;1016;
140525;1400;1015;
140525;1500;1015;
140525;1600;1015;
140525;1700;1014;
140525;1800;1015;
140525;1900;1015;
140525;2000;1015;
140525;2100;1015;
140525;2200;1014;
140525;2300;1014;
140526;0000;1014;
140526;0100;1013;
140526;0200;1013;
140526;0300;1012;
140526;0400;1012;
140526;0500;1012;
140526;0600;1011;
140526;0700;1011;
140526;0800;1011;
140526;0900;1011;
140526;1000;1011;
140526;1100;1010;
140526;1200;1010;
140526;1300;1009;
140526;1400;1008;
140526;1500;1008;
140526;1600;1008;
140526;1700;1009;
140526;1800;1009;
140526;1900;1010;
140526;2000;1010;
140526;2100;1010;
140526;2200;1010;
140526;2300;1010;
140527;0000;1010;
140527;0100;1009;
140527;0200;1009;
140527;0300;1009;
140527;0400;1008;
140527;0500;1008;
140527;0600;1008;
140527;0700;1008;
