FECHA (YYMMDD);HORA (HHMM);;
140513;0100;;
140513;0200;;
140513;0300;;
140513;0400;;
140513;0500;;
140513;0600;;
140513;0700;;
140513;0800;;
140513;0900;;
140513;1000;;
140513;1100;;
140513;1200;;
140513;1300;;
140513;1400;;
140513;1500;;
140513;1600;;
140513;1700;;
140513;1800;;
140513;1900;;
140513;2000;;
140513;2100;0;
140513;2200;0;
140513;2300;0;
140514;0000;0;
140514;0100;0;
140514;0200;0;
140514;0300;0;
140514;0400;0;
140514;0500;0;
140514;0600;0;
140514;0700;4;
140514;0800;49;
140514;0900;255;
140514;1000;208;
140514;1100;420;
140514;1200;476;
140514;1300;641;
140514;1400;548;
140514;1500;391;
140514;1600;138;
140514;1700;35;
140514;1800;1;
140514;1900;0;
140514;2000;0;
140514;2100;0;
140514;2200;0;
140514;2300;0;
140515;0000;0;
140515;0100;0;
140515;0200;0;
140515;0300;0;
140515;0400;0;
140515;0500;0;
140515;0600;0;
140515;0700;6;
140515;0800;46;
140515;0900;329;
140515;1000;535;
140515;1100;646;
140515;1200;682;
140515;1300;652;
140515;1400;559;
140515;1500;409;
140515;1600;133;
140515;1700;33;
140515;1800;0;
140515;1900;0;
140515;2000;0;
140515;2100;0;
140515;2200;0;
140515;2300;0;
140516;0000;0;
140516;0100;0;
140516;0200;0;
140516;0300;0;
140516;0400;0;
140516;0500;0;
140516;0600;0;
140516;0700;5;
140516;0800;33;
140516;0900;346;
140516;1000;555;
140516;1100;658;
140516;1200;696;
140516;1300;661;
140516;1400;556;
140516;1500;392;
140516;1600;101;
140516;1700;16;
140516;1800;0;
140516;1900;0;
140516;2000;0;
140516;2100;0;
140516;2200;0;
140516;2300;0;
140517;0000;0;
140517;0100;0;
140517;0200;0;
140517;0300;0;
140517;0400;0;
140517;0500;0;
140517;0600;0;
140517;0700;13;
140517;0800;76;
140517;0900;120;
140517;1000;381;
140517;1100;499;
140517;1200;262;
140517;1300;262;
140517;1400;210;
140517;1500;319;
140517;1600;138;
140517;1700;15;
140517;1800;0;
140517;1900;0;
140517;2000;0;
140517;2100;0;
140517;2200;0;
140517;2300;0;
140518;0000;0;
140518;0100;0;
140518;0200;0;
140518;0300;0;
140518;0400;0;
140518;0500;0;
140518;0600;0;
140518;0700;4;
140518;0800;69;
140518;0900;287;
140518;1000;543;
140518;1100;648;
140518;1200;686;
140518;1300;653;
140518;1400;541;
140518;1500;390;
140518;1600;101;
140518;1700;14;
140518;1800;0;
140518;1900;0;
140518;2000;0;
140518;2100;0;
140518;2200;0;
140518;2300;0;
140519;0000;0;
140519;0100;0;
140519;0200;0;
140519;0300;0;
140519;0400;0;
140519;0500;0;
140519;0600;0;
140519;0700;5;
140519;0800;59;
140519;0900;267;
140519;1000;455;
140519;1100;598;
140519;1200;507;
140519;1300;508;
140519;1400;420;
140519;1500;313;
140519;1600;152;
140519;1700;26;
140519;1800;0;
140519;1900;0;
140519;2000;0;
140519;2100;0;
140519;2200;0;
140519;2300;0;
140520;0000;0;
140520;0100;0;
140520;0200;0;
140520;0300;0;
140520;0400;0;
140520;0500;0;
140520;0600;0;
140520;0700;3;
140520;0800;58;
140520;0900;182;
140520;1000;345;
140520;1100;454;
140520;1200;475;
140520;1300;209;
140520;1400;112;
140520;1500;59;
140520;1600;92;
140520;1700;30;
140520;1800;0;
140520;1900;0;
140520;2000;0;
140520;2100;0;
140520;2200;0;
140520;2300;0;
140521;0000;0;
140521;0100;0;
140521;0200;0;
140521;0300;0;
140521;0400;0;
140521;0500;0;
140521;0600;0;
140521;0700;2;
140521;0800;38;
140521;0900;48;
140521;1000;246;
140521;1100;349;
140521;1200;188;
140521;1300;74;
140521;1400;17;
140521;1500;9;
140521;1600;37;
140521;1700;16;
140521;1800;0;
140521;1900;0;
140521;2000;0;
140521;2100;0;
140521;2200;0;
140521;2300;0;
140522;0000;0;
140522;0100;0;
140522;0200;0;
140522;0300;0;
140522;0400;0;
140522;0500;0;
140522;0600;0;
140522;0700;2;
140522;0800;30;
140522;0900;308;
140522;1000;536;
140522;1100;638;
140522;1200;673;
140522;1300;642;
140522;1400;542;
140522;1500;377;
140522;1600;108;
140522;1700;14;
140522;1800;0;
140522;1900;0;
140522;2000;0;
140522;2100;0;
140522;2200;0;
140522;2300;0;
140523;0000;0;
140523;0100;0;
140523;0200;0;
140523;0300;0;
140523;0400;0;
140523;0500;0;
140523;0600;0;
140523;0700;3;
140523;0800;33;
140523;0900;305;
140523;1000;536;
140523;1100;644;
140523;1200;682;
140523;1300;654;
140523;1400;550;
140523;1500;382;
140523;1600;109;
140523;1700;15;
140523;1800;0;
140523;1900;0;
140523;2000;0;
140523;2100;0;
140523;2200;0;
140523;2300;0;
140524;0000;0;
140524;0100;0;
140524;0200;0;
140524;0300;0;
140524;0400;0;
140524;0500;0;
140524;0600;0;
140524;0700;1;
140524;0800;30;
140524;0900;94;
140524;1000;156;
140524;1100;188;
140524;1200;246;
140524;1300;298;
140524;1400;346;
140524;1500;335;
140524;1600;131;
140524;1700;15;
140524;1800;0;
140524;1900;0;
140524;2000;0;
140524;2100;0;
140524;2200;0;
140524;2300;0;
140525;0000;0;
140525;0100;0;
140525;0200;0;
140525;0300;0;
140525;0400;0;
140525;0500;0;
140525;0600;0;
140525;0700;4;
140525;0800;46;
140525;0900;289;
140525;1000;517;
140525;1100;639;
140525;1200;572;
140525;1300;510;
140525;1400;425;
140525;1500;266;
140525;1600;126;
140525;1700;26;
140525;1800;0;
140525;1900;0;
140525;2000;0;
140525;2100;0;
140525;2200;0;
140525;2300;0;
140526;0000;0;
140526;0100;0;
140526;0200;0;
140526;0300;0;
140526;0400;0;
140526;0500;0;
140526;0600;0;
140526;0700;3;
140526;0800;31;
140526;0900;301;
140526;1000;542;
140526;1100;640;
140526;1200;673;
140526;1300;644;
140526;1400;536;
140526;1500;375;
140526;1600;108;
140526;1700;13;
140526;1800;0;
140526;1900;0;
140526;2000;0;
140526;2100;0;
140526;2200;0;
140526;2300;0;
140527;0000;0;
140527;0100;0;
140527;0200;0;
140527;0300;0;
140527;0400;0;
140527;0500;0;
140527;0600;0;
140527;0700;2;
140527;0800;28;
140527;0900;300;
140527;1000;547;
140527;1100;648;
140527;1200;682;
140527;1300;650;
140527;1400;545;
140527;1500;383;
140527;1600;106;
140527;1700;12;
140527;1800;0;
140527;1900;0;
140527;2000;0;
140527;2100;0;
140527;2200;0;
140527;2300;0;
140528;0000;0;
140528;0100;0;
140528;0200;0;
140528;0300;0;
140528;0400;0;
140528;0500;0;
140528;0600;0;
140528;0700;1;
140528;0800;18;
140528;0900;41;
140528;1000;105;
140528;1100;259;
140528;1200;194;
140528;1300;156;
140528;1400;125;
140528;1500;63;
140528;1600;16;
140528;1700;2;
140528;1800;0;
140528;1900;0;
