FECHA (YYMMDD);HORA (HHMM);;
140513;0100;;
140513;0200;;
140513;0300;;
140513;0400;;
140513;0500;;
140513;0600;;
140513;0700;;
140513;0800;;
140513;0900;;
140513;1000;;
140513;1100;;
140513;1200;;
140513;1300;;
140513;1400;;
140513;1500;;
140513;1600;;
140513;1700;;
140513;1800;;
140513;1900;;
140513;2000;;
140513;2100;11,7;
140513;2200;11,1;
140513;2300;10,6;
140514;0000;10,3;
140514;0100;10,5;
140514;0200;10,7;
140514;0300;11;
140514;0400;11,1;
140514;0500;10,5;
140514;0600;9,7;
140514;0700;9,09999;
140514;0800;9,7;
140514;0900;12;
140514;1000;12,3;
140514;1100;13,7;
140514;1200;14,1;
140514;1300;16;
140514;1400;17,3;
140514;1500;18,9;
140514;1600;16,3;
140514;1700;16,2;
140514;1800;15,7;
140514;1900;14,6;
140514;2000;14;
140514;2100;13,1;
140514;2200;12,4;
140514;2300;12,2;
140515;0000;12;
140515;0100;11,7;
140515;0200;11,4;
140515;0300;11,1;
140515;0400;10;
140515;0500;9,79999;
140515;0600;8,89999;
140515;0700;8,7;
140515;0800;9,39999;
140515;0900;12,2;
140515;1000;14;
140515;1100;15,2;
140515;1200;15,8;
140515;1300;18,3;
140515;1400;19,7;
140515;1500;20,7;
140515;1600;19,2;
140515;1700;18,8;
140515;1800;18,1;
140515;1900;17;
140515;2000;15,2;
140515;2100;14,4;
140515;2200;13,3;
140515;2300;12,8;
140516;0000;12;
140516;0100;12,2;
140516;0200;12;
140516;0300;10,9;
140516;0400;9,79999;
140516;0500;9,2;
140516;0600;8,89999;
140516;0700;8,7;
140516;0800;9,7;
140516;0900;12,9;
140516;1000;16,5;
140516;1100;18,1;
140516;1200;18,6;
140516;1300;19,7;
140516;1400;24;
140516;1500;25,5;
140516;1600;22,7;
140516;1700;20,8;
140516;1800;19,1;
140516;1900;17,9;
140516;2000;17,1;
140516;2100;15,4;
140516;2200;14;
140516;2300;13,4;
140517;0000;12,2;
140517;0100;11;
140517;0200;10,3;
140517;0300;9,79999;
140517;0400;10;
140517;0500;9,2;
140517;0600;9,2;
140517;0700;9,2;
140517;0800;9,79999;
140517;0900;11,8;
140517;1000;14,1;
140517;1100;15,9;
140517;1200;13;
140517;1300;13,3;
140517;1400;13,1;
140517;1500;14,4;
140517;1600;13,6;
140517;1700;12,8;
140517;1800;11,9;
140517;1900;11,6;
140517;2000;11,2;
140517;2100;10,7;
140517;2200;10,3;
140517;2300;10,1;
140518;0000;9,7;
140518;0100;8,89999;
140518;0200;8,39999;
140518;0300;7,7;
140518;0400;7,5;
140518;0500;7,89999;
140518;0600;7,39999;
140518;0700;7,1;
140518;0800;7,7;
140518;0900;10,2;
140518;1000;15,6;
140518;1100;15,4;
140518;1200;15,9;
140518;1300;15,8;
140518;1400;16,8;
140518;1500;18,3;
140518;1600;15,7;
140518;1700;14,6;
140518;1800;13,4;
140518;1900;13,7;
140518;2000;12,6;
140518;2100;11,9;
140518;2200;11,2;
140518;2300;10,6;
140519;0000;10;
140519;0100;9,5;
140519;0200;8,89999;
140519;0300;8,5;
140519;0400;8,09999;
140519;0500;7,6;
140519;0600;7;
140519;0700;7,39999;
140519;0800;8,29999;
140519;0900;10,6;
140519;1000;14,3;
140519;1100;15,8;
140519;1200;15,8;
140519;1300;17;
140519;1400;17,6;
140519;1500;18,1;
140519;1600;16,4;
140519;1700;15,5;
140519;1800;14,7;
140519;1900;13,5;
140519;2000;12,7;
140519;2100;12;
140519;2200;11,7;
140519;2300;11,6;
140520;0000;10,6;
140520;0100;9,7;
140520;0200;9,2;
140520;0300;8,7;
140520;0400;8,29999;
140520;0500;7,8;
140520;0600;7,5;
140520;0700;8;
140520;0800;8,79999;
140520;0900;10;
140520;1000;12,2;
140520;1100;14,8;
140520;1200;15,3;
140520;1300;14,2;
140520;1400;14;
140520;1500;13,8;
140520;1600;14,2;
140520;1700;14,2;
140520;1800;13,9;
140520;1900;13,8;
140520;2000;13;
140520;2100;12,8;
140520;2200;12,8;
140520;2300;12,6;
140521;0000;12,6;
140521;0100;12,6;
140521;0200;12,3;
140521;0300;12,1;
140521;0400;12;
140521;0500;11,9;
140521;0600;12,2;
140521;0700;12,4;
140521;0800;12;
140521;0900;12,5;
140521;1000;14,5;
140521;1100;15,7;
140521;1200;15;
140521;1300;14,4;
140521;1400;13,8;
140521;1500;12;
140521;1600;11,6;
140521;1700;11,3;
140521;1800;11,1;
140521;1900;11,1;
140521;2000;10,9;
140521;2100;10,3;
140521;2200;9,5;
140521;2300;8,79999;
140522;0000;8,2;
140522;0100;8,59999;
140522;0200;8,79999;
140522;0300;8,5;
140522;0400;8,7;
140522;0500;8,29999;
140522;0600;8,29999;
140522;0700;8,2;
140522;0800;8,39999;
140522;0900;10,4;
140522;1000;14,8;
140522;1100;17;
140522;1200;16,7;
140522;1300;17,6;
140522;1400;18,5;
140522;1500;20,3;
140522;1600;16,8;
140522;1700;15,4;
140522;1800;14,4;
140522;1900;13,8;
140522;2000;12;
140522;2100;12;
140522;2200;11;
140522;2300;9,79999;
140523;0000;8,89999;
140523;0100;8,09999;
140523;0200;7,7;
140523;0300;6,7;
140523;0400;6,39999;
140523;0500;6,3;
140523;0600;5,89999;
140523;0700;5,7;
140523;0800;6,2;
140523;0900;9,29999;
140523;1000;14,7;
140523;1100;16,3;
140523;1200;16,1;
140523;1300;16;
140523;1400;16,9;
140523;1500;17,2;
140523;1600;14,1;
140523;1700;13;
140523;1800;11,8;
140523;1900;10,8;
140523;2000;9,89999;
140523;2100;9,2;
140523;2200;8,59999;
140523;2300;7,7;
140524;0000;7,3;
140524;0100;8,09999;
140524;0200;8,59999;
140524;0300;8,39999;
140524;0400;8,59999;
140524;0500;9;
140524;0600;9,2;
140524;0700;9,39999;
140524;0800;9,79999;
140524;0900;10,5;
140524;1000;11,7;
140524;1100;13,4;
140524;1200;14,5;
140524;1300;14,8;
140524;1400;15,4;
140524;1500;16,4;
140524;1600;13,7;
140524;1700;12,5;
140524;1800;11,1;
140524;1900;9,89999;
140524;2000;9,09999;
140524;2100;8,5;
140524;2200;8,59999;
140524;2300;9,5;
140525;0000;9,5;
140525;0100;9,59999;
140525;0200;9;
140525;0300;9;
140525;0400;8,79999;
140525;0500;8,5;
140525;0600;8;
140525;0700;7,39999;
140525;0800;7,6;
140525;0900;10,1;
140525;1000;14,6;
140525;1100;16,6;
140525;1200;16,2;
140525;1300;16;
140525;1400;16,5;
140525;1500;15,7;
140525;1600;14,8;
140525;1700;13,4;
140525;1800;12;
140525;1900;11,1;
140525;2000;10,7;
140525;2100;10,1;
140525;2200;9,5;
140525;2300;8,79999;
140526;0000;8,29999;
140526;0100;7,89999;
140526;0200;7,2;
140526;0300;7,1;
140526;0400;6,6;
140526;0500;6,2;
