FECHA (YYMMDD);HORA (HHMM);;
040708;0100;;
040708;0200;;
040708;0300;;
040708;0400;;
040708;0500;;
040708;0600;;
040708;0700;;
040708;0800;;
040708;0900;;
040708;1000;;
040708;1100;;
040708;1200;;
040708;1300;;
040708;1400;;
040708;1500;;
040708;1600;0,4;
040708;1700;0,3;
040708;1800;0,4;
040708;1900;0,9;
040708;2000;0,5;
040708;2100;0,4;
040708;2200;0,4;
040708;2300;0,5;
040709;0000;0,4;
040709;0100;0,4;
040709;0200;0,3;
040709;0300;0,2;
040709;0400;0,3;
040709;0500;0,4;
040709;0600;0,3;
040709;0700;0,3;
040709;0800;0,4;
040709;0900;0,4;
040709;1000;0,3;
040709;1100;1,1;
040709;1200;1,4;
040709;1300;2,1;
040709;1400;3,3;
040709;1500;2,4;
040709;1600;1,5;
040709;1700;1,5;
040709;1800;1,2;
040709;1900;1,1;
040709;2000;0,799998;
040709;2100;1,2;
040709;2200;0,799998;
040709;2300;0,3;
040710;0000;0,2;
040710;0100;0,3;
040710;0200;0,9;
040710;0300;0,799998;
040710;0400;0,9;
040710;0500;0,599998;
040710;0600;1,1;
040710;0700;0,4;
040710;0800;0,7;
040710;0900;0,9;
040710;1000;0,799998;
040710;1100;0,5;
040710;1200;0,7;
040710;1300;0,4;
040710;1400;0,4;
040710;1500;0,4;
040710;1600;0,3;
040710;1700;0,2;
040710;1800;0,2;
040710;1900;0,5;
040710;2000;0,599998;
040710;2100;0,3;
040710;2200;0,3;
040710;2300;0,3;
040711;0000;0,3;
040711;0100;0,2;
040711;0200;0,3;
040711;0300;0,4;
040711;0400;0,4;
040711;0500;0,3;
040711;0600;0,3;
040711;0700;0,3;
040711;0800;0,3;
040711;0900;0,3;
040711;1000;0,4;
040711;1100;0,599998;
040711;1200;0,599998;
040711;1300;0,4;
040711;1400;0,799998;
040711;1500;1,1;
040711;1600;0,7;
040711;1700;0,599998;
040711;1800;0,3;
040711;1900;0,3;
040711;2000;0,3;
040711;2100;0,2;
040711;2200;0,5;
040711;2300;0,3;
040712;0000;0,3;
040712;0100;0,3;
040712;0200;0,3;
040712;0300;0,3;
040712;0400;0,4;
040712;0500;0,3;
040712;0600;0,3;
040712;0700;0,3;
040712;0800;0,3;
040712;0900;0,7;
040712;1000;0,7;
040712;1100;0,4;
040712;1200;1,3;
040712;1300;1,6;
040712;1400;2,1;
040712;1500;2,1;
040712;1600;1,4;
040712;1700;1,1;
040712;1800;0,599998;
040712;1900;0,4;
040712;2000;1,2;
040712;2100;1;
040712;2200;1,7;
040712;2300;1,6;
040713;0000;1,9;
040713;0100;1,8;
040713;0200;2,1;
040713;0300;1,7;
040713;0400;1,9;
040713;0500;2,9;
040713;0600;2,9;
040713;0700;2,7;
040713;0800;3,1;
040713;0900;1,8;
040713;1000;0,3;
040713;1100;0,3;
040713;1200;0,5;
040713;1300;0,3;
040713;1400;0,3;
040713;1500;0,9;
040713;1600;0,599998;
040713;1700;0,3;
040713;1800;0,4;
040713;1900;0,4;
040713;2000;0,3;
040713;2100;0,3;
040713;2200;0,3;
040713;2300;0,3;
040714;0000;0,3;
040714;0100;0,2;
040714;0200;0,4;
040714;0300;0,7;
040714;0400;0,7;
040714;0500;0,599998;
040714;0600;0,599998;
040714;0700;0,5;
040714;0800;0,7;
040714;0900;0,3;
040714;1000;0,4;
040714;1100;0,3;
040714;1200;0,3;
040714;1300;0,599998;
040714;1400;0,2;
040714;1500;0,5;
040714;1600;0,599998;
040714;1700;0,4;
040714;1800;1;
040714;1900;1,1;
040714;2000;0,7;
040714;2100;0,4;
040714;2200;0,3;
040714;2300;0,5;
040715;0000;0,7;
040715;0100;1,2;
040715;0200;0,799998;
040715;0300;0,3;
040715;0400;0,3;
040715;0500;0,2;
040715;0600;0,3;
040715;0700;0,5;
040715;0800;0,7;
040715;0900;0,4;
040715;1000;0,4;
040715;1100;0,2;
040715;1200;1,1;
040715;1300;1,8;
040715;1400;1,6;
040715;1500;1,2;
040715;1600;1,6;
040715;1700;1,5;
040715;1800;1,2;
040715;1900;1,5;
040715;2000;0,7;
040715;2100;0,599998;
040715;2200;0,7;
040715;2300;0,4;
040716;0000;0,2;
040716;0100;0,2;
040716;0200;0,7;
040716;0300;0,799998;
040716;0400;0,799998;
040716;0500;0,5;
040716;0600;0,4;
040716;0700;0,3;
040716;0800;0,3;
040716;0900;0,5;
040716;1000;0,7;
040716;1100;0,4;
040716;1200;0,5;
040716;1300;0,4;
040716;1400;0,2;
040716;1500;0,3;
040716;1600;0,2;
040716;1700;0,4;
040716;1800;0,7;
040716;1900;0,4;
040716;2000;0,5;
040716;2100;0,5;
040716;2200;0,5;
040716;2300;0,3;
040717;0000;0,3;
040717;0100;0,3;
040717;0200;0,2;
040717;0300;0,3;
040717;0400;0,2;
040717;0500;0,3;
040717;0600;0,3;
040717;0700;0,5;
040717;0800;0,4;
040717;0900;0,4;
040717;1000;0,3;
040717;1100;0,2;
040717;1200;0,5;
040717;1300;0,599998;
040717;1400;0,799998;
040717;1500;0,5;
040717;1600;0,3;
040717;1700;0,3;
040717;1800;0,599998;
040717;1900;0,599998;
040717;2000;0,4;
040717;2100;0,3;
040717;2200;0,3;
040717;2300;0,3;
040718;0000;0,3;
040718;0100;0,3;
040718;0200;0,3;
040718;0300;0,5;
040718;0400;0,5;
040718;0500;0,4;
040718;0600;0,5;
040718;0700;0,3;
040718;0800;0,4;
040718;0900;0,2;
040718;1000;0,4;
040718;1100;0,2;
040718;1200;0,3;
040718;1300;0,3;
040718;1400;0,3;
040718;1500;0,4;
040718;1600;0,4;
040718;1700;0,599998;
040718;1800;0,3;
040718;1900;0,3;
040718;2000;0,4;
040718;2100;0,4;
040718;2200;0,3;
040718;2300;0,3;
040719;0000;0,4;
040719;0100;0,5;
040719;0200;0,3;
040719;0300;0,3;
040719;0400;0,3;
040719;0500;0,3;
040719;0600;0,3;
040719;0700;0,599998;
040719;0800;1,1;
040719;0900;1,3;
040719;1000;1,7;
040719;1100;0,9;
040719;1200;0,599998;
040719;1300;0,2;
040719;1400;0,4;
040719;1500;0,5;
040719;1600;0,4;
040719;1700;0,7;
040719;1800;0,4;
040719;1900;0,4;
040719;2000;0,3;
040719;2100;0,2;
040719;2200;0,2;
040719;2300;0,4;
040720;0000;0,599998;
040720;0100;1,2;
040720;0200;1;
040720;0300;0,9;
040720;0400;0,799998;
040720;0500;0,9;
040720;0600;0,5;
040720;0700;0,2;
040720;0800;0,4;
040720;0900;0,4;
040720;1000;0,3;
040720;1100;2,2;
040720;1200;2,5;
040720;1300;2;
040720;1400;2,2;
040720;1500;1,8;
040720;1600;1,4;
040720;1700;1,4;
040720;1800;1,8;
040720;1900;2;
040720;2000;1,7;
040720;2100;1,1;
040720;2200;0,799998;
040720;2300;0,4;
040721;0000;0,3;
040721;0100;0,4;
040721;0200;0,3;
040721;0300;0,4;
040721;0400;0,3;
040721;0500;0,3;
040721;0600;0,3;
040721;0700;0,3;
040721;0800;0,3;
040721;0900;0,3;
040721;1000;0,3;
040721;1100;0,4;
040721;1200;1,8;
040721;1300;1,8;
040721;1400;2,4;
040721;1500;2,2;
040721;1600;2,4;
040721;1700;1,4;
040721;1800;1,1;
040721;1900;1;
040721;2000;0,3;
040721;2100;0,5;
040721;2200;0,4;
040721;2300;0,4;
040722;0000;0,599998;
040722;0100;0,5;
040722;0200;0,4;
040722;0300;0,3;
040722;0400;0,3;
040722;0500;0,2;
040722;0600;0,2;
040722;0700;0,3;
040722;0800;0,4;
040722;0900;0,5;
040722;1000;0,4;
040722;1100;0,3;
040722;1200;0,3;
040722;1300;0,3;
040722;1400;0,3;
040722;1500;1,1;
040722;1600;0,9;
040722;1700;1;
040722;1800;1,4;
040722;1900;1,4;
040722;2000;1,4;
040722;2100;2,6;
040722;2200;2,4;
040722;2300;2,7;
040723;0000;1,6;
040723;0100;1,1;
040723;0200;0,9;
040723;0300;0,7;
040723;0400;0,599998;
040723;0500;0,3;
040723;0600;0,4;
040723;0700;0,7;
040723;0800;0,5;
040723;0900;0,3;
040723;1000;0,3;
040723;1100;0,3;
040723;1200;0,4;
040723;1300;0,5;
040723;1400;0,4;
040723;1500;0,599998;
040723;1600;0,4;
040723;1700;0,3;
040723;1800;0,2;
040723;1900;0,2;
040723;2000;0,3;
040723;2100;0,3;
040723;2200;0,4;
040723;2300;0,599998;
040724;0000;0,4;
040724;0100;0,3;
040724;0200;0,3;
040724;0300;0,3;
040724;0400;0,3;
040724;0500;0,4;
040724;0600;0,2;
040724;0700;0,3;
040724;0800;0,3;
040724;0900;0,3;
040724;1000;0,2;
040724;1100;0,3;
040724;1200;0,7;
040724;1300;0,599998;
040724;1400;0,599998;
040724;1500;0,5;
040724;1600;0,5;
040724;1700;0,4;
040724;1800;0,4;
040724;1900;0,2;
040724;2000;0,4;
040724;2100;0,4;
040724;2200;0,4;
040724;2300;0,4;
040725;0000;1;
040725;0100;1,1;
040725;0200;1,6;
040725;0300;1,7;
040725;0400;1,3;
040725;0500;1,4;
040725;0600;1,1;
040725;0700;0,599998;
040725;0800;0,5;
040725;0900;0,4;
040725;1000;0,7;
040725;1100;1,2;
040725;1200;1,3;
040725;1300;1,2;
040725;1400;0,5;
040725;1500;0,4;
040725;1600;0,5;
040725;1700;0,4;
040725;1800;0,599998;
040725;1900;0,4;
040725;2000;0,5;
040725;2100;0,4;
040725;2200;0,4;
040725;2300;0,3;
040726;0000;0,599998;
040726;0100;0,3;
040726;0200;0,5;
040726;0300;0,4;
040726;0400;0,5;
040726;0500;0,3;
040726;0600;0,3;
040726;0700;0,3;
040726;0800;0,3;
040726;0900;0,4;
040726;1000;0,4;
040726;1100;0,5;
040726;1200;0,599998;
040726;1300;0,4;
040726;1400;0,4;
040726;1500;0,3;
040726;1600;0,2;
040726;1700;0,3;
040726;1800;0,2;
040726;1900;0,4;
040726;2000;0,2;
040726;2100;0,3;
040726;2200;0,3;
040726;2300;0,4;
040727;0000;0,5;
040727;0100;0,599998;
040727;0200;0,5;
040727;0300;0,4;
040727;0400;0,4;
040727;0500;0,599998;
040727;0600;0,3;
040727;0700;0,3;
040727;0800;0,3;
040727;0900;0,799998;
040727;1000;0,4;
040727;1100;0,3;
040727;1200;0,3;
040727;1300;0,3;
040727;1400;0,4;
040727;1500;0,4;
040727;1600;0,5;
040727;1700;0,599998;
040727;1800;0,4;
040727;1900;1,1;
040727;2000;0,4;
040727;2100;0,3;
040727;2200;0,3;
040727;2300;0,4;
040728;0000;0,3;
040728;0100;0,3;
040728;0200;0,2;
040728;0300;0,2;
040728;0400;0,3;
040728;0500;0,3;
040728;0600;0,3;
040728;0700;0,3;
040728;0800;0,799998;
040728;0900;1;
040728;1000;0,4;
040728;1100;;
040728;1200;0,599998;
040728;1300;0,599998;
040728;1400;0,7;
040728;1500;1,9;
040728;1600;2,3;
040728;1700;0,9;
040728;1800;0,5;
040728;1900;1,2;
040728;2000;0,7;
040728;2100;0,4;
040728;2200;0,3;
040728;2300;0,3;
040729;0000;0,2;
040729;0100;0,3;
040729;0200;0,3;
040729;0300;0,2;
