FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
220101;0000;9;;;
220102;0000;11;;;
220103;0000;10;;;
220104;0000;10;;;
220105;0000;13;;;
220106;0000;9;;;
220107;0000;13;;;
220108;0000;8;;;
220109;0000;5;;;
220110;0000;8;;;
220111;0000;9;;;
220112;0000;12;;;
220113;0000;4;;;
220114;0000;9;;;
220115;0000;15;;;
220116;0000;5;;;
220117;0000;2;;;
220118;0000;9;;;
220119;0000;9;;;
220120;0000;8;;;
220121;0000;11;;;
220122;0000;7;;;
220123;0000;8;;;
220124;0000;14;;;
220125;0000;9;;;
220126;0000;;;8;
220127;0000;11;;;
220128;0000;8;;;
220129;0000;9;;;
220130;0000;7;;;
220131;0000;12;;;
220201;0000;11;;;
220202;0000;9;;;
220203;0000;10;;;
220204;0000;7;;;
220205;0000;12;;;
220206;0000;13;;;
220207;0000;8;;;
220208;0000;9;;;
220209;0000;9;;;
220210;0000;7;;;
220211;0000;18;;;
220212;0000;25;;;
220213;0000;15;;;
220214;0000;13;;;
220215;0000;14;;;
220216;0000;11;;;
220217;0000;19;;;
220218;0000;23;;;
220219;0000;8;;;
220220;0000;8;;;
220221;0000;6;;;
220222;0000;7;;;
220223;0000;8;;;
220224;0000;6;;;
220225;0000;12;;;
220226;0000;;;;
220227;0000;;;;
220228;0000;;;;
220301;0000;30;;;
220302;0000;20;;;
220303;0000;9;;;
220304;0000;10;;;
220305;0000;9;;;
220306;0000;5;;;
220307;0000;8;;;
220308;0000;8;;;
220309;0000;10;;;
220310;0000;14;;;
220311;0000;17;;;
220312;0000;13;;;
220313;0000;17;;;
220314;0000;17;;;
220315;0000;16;;;
220316;0000;10;;;
220317;0000;13;;;
220318;0000;9;;;
220319;0000;26;;;
220320;0000;24;;;
220321;0000;5;;;
220322;0000;11;;;
220323;0000;5;;;
220324;0000;13;;;
220325;0000;23;;;
220326;0000;13;;;
220327;0000;8;;;
220328;0000;17;;;
220329;0000;6;;;
220330;0000;12;;;
220331;0000;26;;;
220401;0000;21;;;
220402;0000;24;;;
220403;0000;13;;;
220404;0000;15;;;
220405;0000;17;;;
220406;0000;21;;;
220407;0000;16;;;
220408;0000;13;;;
220409;0000;6;;;
220410;0000;4;;;
220411;0000;5;;;
220412;0000;8;;;
220413;0000;16;;;
220414;0000;15;;;
220415;0000;10;;;
220416;0000;17;;;
220417;0000;24;;;
220418;0000;15;;;
220419;0000;16;;;
220420;0000;14;;;
220421;0000;14;;;
220422;0000;14;;;
220423;0000;11;;;
220424;0000;8;;;
220425;0000;9;;;
220426;0000;;;;
220427;0000;;;;
220428;0000;12;;;
220429;0000;16;;;
220430;0000;15;;;
220501;0000;15;;;
220502;0000;16;;;
220503;0000;23;;;
220504;0000;22;;;
220505;0000;15;;;
220506;0000;32;;;
220507;0000;32;;;
220508;0000;22;;;
220509;0000;15;;;
220510;0000;23;;;
220511;0000;26;;;
220512;0000;30;;;
220513;0000;30;;;
220514;0000;25;;;
220515;0000;26;;;
220516;0000;26;;;
220517;0000;33;;;
220518;0000;35;;;
220519;0000;16;;;
220520;0000;12;;;
220521;0000;9;;;
220522;0000;15;;;
220523;0000;19;;;
220524;0000;17;;;
220525;0000;8;;;
220526;0000;14;;;
220527;0000;20;;;
220528;0000;30;;;
220529;0000;24;;;
220530;0000;30;;;
220531;0000;26;;;
220601;0000;21;;;
220602;0000;16;;;
220603;0000;20;;;
220604;0000;17;;;
220605;0000;11;;;
220606;0000;9;;;
220607;0000;11;;;
220608;0000;17;;;
220609;0000;16;;;
220610;0000;31;;;
220611;0000;30;;;
220612;0000;29;;;
220613;0000;26;;;
220614;0000;20;;;
220615;0000;23;;;
220616;0000;12;;;
220617;0000;17;;;
220618;0000;28;;;
220619;0000;26;;;
220620;0000;24;;;
220621;0000;11;;;
220622;0000;12;;;
220623;0000;8;;;
220624;0000;15;;;
220625;0000;;;36;
220626;0000;19;;;
220627;0000;15;;;
220628;0000;11;;;
220629;0000;11;;;
220630;0000;12;;;
220701;0000;7;;;
220702;0000;9;;;
220703;0000;19;;;
220704;0000;17;;;
220705;0000;11;;;
220706;0000;15;;;
220707;0000;16;;;
220708;0000;15;;;
220709;0000;8;;;
220710;0000;8;;;
220711;0000;10;;;
220712;0000;9;;;
220713;0000;12;;;
220714;0000;5;;;
220715;0000;5;;;
220716;0000;8;;;
220717;0000;11;;;
220718;0000;20;;;
220719;0000;24;;;
220720;0000;21;;;
220721;0000;22;;;
